column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aider-polyglot/polyglot_cpp_diamond,16,0,0.0,0.520833375,0.37209530355892606,0.666667,0.24999975,0.75000025,0.0,1.0,identity,0.666667,0.5000005000000001,0,0
aider-polyglot/polyglot_cpp_dnd-character,16,0,0.0,0.5000000625000001,0.35355347898169326,0.666667,0.24999975,0.666667,0.0,1.0,identity,0.666667,0.41666725000000004,0,0
aider-polyglot/polyglot_cpp_gigasecond,16,0,0.0,0.333333375,0.37267807078561027,0.1666665,0.0,0.666667,0.0,1.0,identity,0.1666665,0.666667,0,0
aider-polyglot/polyglot_cpp_grade-school,16,0,0.0,0.604166625,0.3947353829712816,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aider-polyglot/polyglot_cpp_kindergarten-garden,16,0,0.0,0.125,0.33071891388307384,0.0,0.0,0.0,0.0,1.0,identity,0.0,0.33071891388307384,0,0
aider-polyglot/polyglot_cpp_knapsack,16,0,0.0,0.6249999374999999,0.4389856145612104,1.0,0.24999975,1.0,0.0,1.0,identity,1.0,0.75000025,0,0
aider-polyglot/polyglot_cpp_linked-list,16,0,0.0,0.7083334375,0.3703414223351826,0.8333335,0.666667,1.0,0.0,1.0,identity,0.8333335,0.333333,0,0
aider-polyglot/polyglot_cpp_meetup,16,0,0.0,0.166666625,0.3333333125000176,0.0,0.0,0.08333325,0.0,1.0,identity,0.0,0.08333325,0,0
aider-polyglot/polyglot_cpp_parallel-letter-frequency,16,0,0.0,0.1458333125,0.23477978563558202,0.0,0.0,0.333333,0.0,0.666667,identity,0.0,0.333333,0,0
aider-polyglot/polyglot_cpp_perfect-numbers,16,0,0.0,0.6666666875,0.39086801551878075,0.8333335,0.333333,1.0,0.0,1.0,identity,0.8333335,0.666667,0,0
aider-polyglot/polyglot_cpp_phone-number,16,0,0.0,0.22916675,0.3479853774466501,0.0,0.0,0.666667,0.0,1.0,identity,0.0,0.666667,0,0
aider-polyglot/polyglot_cpp_queen-attack,16,0,0.0,0.24999999999999997,0.36324161686438133,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aider-polyglot/polyglot_cpp_robot-name,16,0,0.0,0.31249993750000005,0.381312623499811,0.1666665,0.0,0.4166665,0.0,1.0,identity,0.1666665,0.4166665,0,0
aider-polyglot/polyglot_cpp_space-age,16,0,0.0,0.541666625,0.43898560862898384,0.5,0.0,1.0,0.0,1.0,identity,0.5,1.0,0,0
aider-polyglot/polyglot_cpp_spiral-matrix,16,0,0.0,0.2291666875,0.4034357878223495,0.0,0.0,0.16666675,0.0,1.0,identity,0.0,0.16666675,0,0
aider-polyglot/polyglot_cpp_sublist,16,0,0.0,0.208333375,0.33071899262570237,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aider-polyglot/polyglot_cpp_yacht,16,0,0.0,0.2499999375,0.38188129427439044,0.0,0.0,0.333333,0.0,1.0,identity,0.0,0.333333,0,0
aider-polyglot/polyglot_cpp_zebra-puzzle,16,0,0.0,0.66666675,0.40824829046388855,0.8333335,0.50000025,1.0,0.0,1.0,identity,0.8333335,0.49999974999999997,0,0
aider-polyglot/polyglot_go_alphametics,16,0,0.0,0.8750000625000001,0.19982628306308606,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aider-polyglot/polyglot_go_beer-song,16,0,0.0,0.041666625,0.11023952772138663,0.0,0.0,0.0,0.0,0.333333,identity,0.0,0.11023952772138663,0,0
aider-polyglot/polyglot_go_book-store,16,0,0.0,0.791666625,0.3703414856213578,1.0,0.83333325,1.0,0.0,1.0,identity,1.0,0.16666674999999997,0,0
aider-polyglot/polyglot_go_bottle-song,16,0,0.0,0.5625,0.49607837082461076,1.0,0.0,1.0,0.0,1.0,identity,1.0,1.0,0,0
