MASAI  (From: swe_bench_verified.json)
MAYA-V2  (From: terminalbench_2_0.json)
MCTS-Refine-7B  (From: swe_bench_verified.json)
MedAgentBench agent orchestrator  (From: medagentbench.json)
Meituan-agent  (From: spider_2.json)
Meta Agent  (From: cybergym.json)
Mini-SWE  (From: cooperbench.json)
mini-SWE-agent  (From: abcbench.json, swe_bench_verified.json)
mini-SWE-Agent  (From: devopsgym.json)
mini-swe-agent  (From: sldbench.json, swe_bench_pro.json)
Mini-SWE-Agent  (From: terminalbench_2_0.json)
Moatless Tools  (From: swe_bench_verified.json)
MopenHands  (From: multi_swe_bench.json)
MSWE-agent  (From: multi_swe_bench.json)
Multi-Agent Experiment v0.1 (powered by AutoGen)  (From: gaia.json)
Multi-Agent pipeline, Avg@4  (From: widesearch.json)
Mux  (From: terminalbench_2_0.json)
Native mini  (From: spider_2.json)
Nebius AI Qwen 2.5 72B Generator  (From: swe_bench_verified.json)
Nemotron-CORTEXA  (From: swe_bench_verified.json)
Nemotron-ToolOrchestra-0106  (From: gaia.json)
nFactorial (2024-10-01)  (From: swe_bench_verified.json)
nFactorial (2024-10-07)  (From: swe_bench_verified.json)
nFactorial (2024-10-30)  (From: swe_bench_verified.json)
nFactorial (2024-11-05)  (From: swe_bench_verified.json)
Nobie Agent  (From: spreadsheetbench.json)
o3-deep-research  (From: deepsynth.json)
omne v0.1  (From: gaia.json)
open Deep Research | pass@1  (From: gaia.json)
OpenAI Deep Research (cons@64)  (From: gaia.json)
OpenAI Deep Research (pass@1)  (From: gaia.json)
OpenClaw 2026.4.1  (From: gaia2.json)
opencode  (From: sldbench.json)
OpenCode  (From: terminalbench_2_0.json)
OpenHands  (From: cooperbench.json, cybergym.json, devopsgym.json, featurebench.json, gso.json, swe_bench_live.json, swe_bench_verified.json, swe_fficiency.json, swe_perf.json, swe_smith.json, swt_bench.json, terminalbench_2_0.json, webgenbench.json)
openhands  (From: sldbench.json)
OpenHands (mock)  (From: featurebench.json)
OpenHands (thinking: no)  (From: abcbench.json)
OpenHands (thinking: yes)  (From: abcbench.json)
OpenHands (w/ SFT)  (From: abcbench.json)
OpenHands (w/o SFT)  (From: abcbench.json)
OpenHands CodeAct (with knowledge)  (From: scienceagentbench.json)
OpenHands CodeAct (without knowledge)  (From: scienceagentbench.json)
OpenHands SDK  (From: cooperbench.json)
OpenHands; train size 3.3k  (From: swe_smith.json)
OpenHands; train size 491  (From: swe_smith.json)
openJiuwen custom setup  (From: browsecomp_plus.json)
openJiuwen-deepagent  (From: gaia.json)
OpenResearcher toolset  (From: browsecomp_plus.json)
OPS-Agentic-Search  (From: gaia.json)
Otter  (From: swt_bench.json)
Otter++  (From: swt_bench.json)
OWL  (From: deepsynth.json)
OWL++  (From: gaia.json)
PAI-DataSurfer Agent  (From: spider_2.json)
Pass@5 (oracle)  (From: swt_bench.json)
PatchPilot  (From: swe_bench_verified.json)
PatchPilot-v1.1  (From: swe_bench_verified.json)
PExA  (From: spider_2.json)
PGV-Agent  (From: spider_2.json)
Pipelined SWE-agent  (From: crust_bench.json)
Previous SOTA (opens in a new window)  (From: gaia.json)
Prism Swarm  (From: spider_2.json)
Prism Swarm with Deepthink  (From: spider_2.json)
Prometheus-v1.2  (From: swe_bench_verified.json)
Prometheus-v1.2.1  (From: swe_bench_verified.json)
ProSPy: Profiling-driven SQL-Python Analysis Framework  (From: spider_2.json)
Qingqiu Agent  (From: spreadsheetbench.json)
QiSi-SQL  (From: spider_2.json)
Qodo Command  (From: swe_bench_verified.json)
QUVI-2.3  (From: spider_2.json)
QUVI-3  (From: spider_2.json)
RAG  (From: swe_bench_verified.json)
Random baseline (JudgeEval)  (From: paperbench.json)
ReAct  (From: crmarena.json)
ReAct (temperature=0.5, 3 runs/scenario, 200-step cap)  (From: gaia2.json)
Refact.ai Agent  (From: swe_bench_verified.json)
Reflexion  (From: spider_2.json, usaco.json)
ReFoRCE  (From: spider_2.json)
RSL-SQL  (From: spider_2.json)
SAB Self-Debug  (From: scienceagentbench.json)
SageAgent  (From: cybergym.json, devopsgym.json, terminalbench_2_0.json)
Salesforce AI Research SAGE (bash-only)  (From: swe_bench_verified.json)
Salesforce AI Research SAGE (OpenHands)  (From: swe_bench_verified.json)
Search with get_doc  (From: browsecomp_plus.json)
SearchR1 search-augmented generation  (From: browsecomp_plus.json)
Self-Debug (with knowledge)  (From: scienceagentbench.json)
Self-Debug (without knowledge)  (From: scienceagentbench.json)
Semantic + Episodic  (From: usaco.json)
Semantic + Episodic + Reflexion  (From: usaco.json)
Semantic + Reflexion  (From: usaco.json)
Semantic Retrieval  (From: usaco.json)
Shadowfax-DBT-Agent  (From: spider_2.json)
ShawnAgent_v3.1  (From: gaia.json)
Shortcut.ai  (From: spreadsheetbench.json)
Sibyl System v0.2 (gpt-4o-2024-08-06)  (From: gaia.json)
SignalPilot Agent  (From: spider_2.json)
SimpleJudge (JudgeEval)  (From: paperbench.json)
SimpleJudge (JudgeEval), reasoning_effort=high  (From: paperbench.json)
Single Agent pipeline, Avg@4  (From: widesearch.json)
Skywork Deep Research Agent v2  (From: gaia.json)
Skywork-SWE-32B  (From: swe_bench_verified.json)
SLDAgent  (From: sldbench.json)
Smolagent  (From: deepsynth.json)
Solver (2024-09-12)  (From: swe_bench_verified.json)
Solver (2024-10-28)  (From: swe_bench_verified.json)
SOMA-SQL  (From: spider_2.json)
Sonar Foundation Agent  (From: swe_bench_verified.json)
Sophon-Agent  (From: spider_2.json)
soumya-batra/agentswe-officeqa  (From: officeqa.json)
Spider-Agent  (From: spider_2.json)
Spider-Agent-Extended  (From: spider_2.json)
spoox-m  (From: terminalbench_2_0.json)
SSDAT  (From: spider_2.json)
SU AI Zero  (From: gaia.json)
SU Zero - Shuqian Series Pro MAX  (From: gaia.json)
Su Zero Ultra  (From: gaia.json)
SWE-Agent  (From: mlgym_bench.json, swe_bench_pro.json, swe_bench_verified.json, swt_bench.json)
SWE-agent  (From: swe_bench_live.json, swe_bench_verified.json, swe_fficiency.json, swe_smith.json)
SWE-Agent+  (From: swt_bench.json)
SWE-agent; train size 2k  (From: swe_smith.json)
SWE-agent; train size 5k  (From: swe_smith.json)
SWE-Exp  (From: swe_bench_verified.json)
SWE-Fixer (Qwen2.5-7b retriever  (From: swe_bench_verified.json)
SWE-Fixer; train size 110k  (From: swe_smith.json)
SWE-Rizzo  (From: swe_bench_verified.json)
SWE-RL (Llama3-SWE-RL-70B  (From: swe_bench_verified.json)
SWE-SynInfer  (From: swe_smith.json)
Symbiote Agent  (From: spider_2.json)
TapeAgent v0.2  (From: gaia.json)
TapeAgents & BrowserGym  (From: gaia.json)
TCDataAgent-SQL with Contextual Scaling Engine  (From: spider_2.json)
Terminus-KIRA  (From: terminalbench_2_0.json)
Tetra-Beta-2  (From: spreadsheetbench.json)
TEX-T  (From: swt_bench.json)
TongAgents  (From: terminalbench_2_0.json)
Tongyi-DeepResearch native toolset  (From: browsecomp_plus.json)
tool-use scaffold  (From: replicationbench.json)
Tools  (From: swe_bench_verified.json)
TRAE  (From: swe_bench_verified.json)
Trase Agent v0.1  (From: gaia.json)
Trase Agent v0.3  (From: gaia.json)
ugaiforge  (From: swe_bench_verified.json)
UK AI Safety Institute Internal  (From: gaia.json)
W&amp;B Programmer O1 crosscheck5  (From: swe_bench_verified.json)
Warp  (From: swe_bench_verified.json, terminalbench_2_0.json)
Win-agent  (From: swe_bench_live.json)
WindAgent  (From: spider_2.json)
with browsing  (From: browsecomp.json)
zaidishahbaz1/officeqa  (From: officeqa.json)
Zencoder (2025-04-30)  (From: swe_bench_verified.json)
Zero-Shot Base  (From: swt_bench.json)
Zero-Shot Plus  (From: swt_bench.json)
ZeroShot  (From: swt_bench.json)
ZeroShotPlus  (From: swt_bench.json)
🐟 AWorld (Run Instantly)  (From: gaia.json)
🐦‍🔥 AWorld (Run Instantly)  (From: gaia.json)
